Number,,Labels,Title,Date,URL
2474,Validation Layers,enhancement,Refactor code reuse between 1.1 core and KHR entry points,2018-03-09,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2474
2436,Validation Layers,enhancement,Validation should warn if users enable extensions/layers without enumerating support,2018-02-25,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2436
2428,Validation Layers,enhancement,Cryptic error at BeginRenderPass time,2018-02-22,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2428
2419,Validation Layers,incomplete,Validation layers don't check SPIR-V version in vkCreateShaderModule,2018-02-19,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2419
2397,Validation Layers,enhancement,Failure to build with musl libc,2018-02-05,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2397
2383,Validation Layers,incomplete,Core validation: No checks for min image transfer granularity adherence,2018-01-31,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2383
2374,Validation Layers,enhancement,icd: Add support for vkGetPhysicalDeviceFeatures2KHR pNext extension queries,2018-01-26,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2374
2344,Validation Layers,VUID,Validate correct topology based on GS feature,2018-01-16,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2344
2335,Loader,question,Executable Inside UninstallVulkanRT.exe flagged as Razy Trojan,2018-01-10,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2335
2333,Validation Layers,incomplete,Usage flags requirement not enforced for indirect buffers,2018-01-10,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2333
2332,Validation Layers,enhancement,"Debug Report Callbacks apears to get created 4 times from a single ""vkCreateDebugReportCallbackEXT"" call.",2018-01-10,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2332
2330,Loader,bug,PFN_GetPhysicalDeviceProcAddr has C++ interface.,2018-01-09,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2330
2277,Validation Layers,VUID,Validate sparse bindings at submit time,2017-12-14,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2277
2223,Loader,enhancement,windowsRuntimeInstaller Uninstaller succeds (retcode == 0) when ConfigureRT fails,2017-11-21,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2223
2207,Validation Layers,enhancement,Enabled validation layers should give a performance warning,2017-11-15,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2207
2204,Validation Layers,incomplete,Enhancement: vkCmdBindDescriptorSets : validate if pipelineBindPoint matches layout targets,2017-11-13,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2204
2190,Loader,bug,Loader calls vk_icdGetInstanceProcAddr for vkCreateSwapchainKHR,2017-11-07,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2190
2186,Loader,bug,Assertion failure when only some ICDs have VK_KHR_surface support,2017-11-06,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2186
2178,Validation Layers,incomplete,Could validate stageFlags for INPUT_ATTACHMENT?,2017-11-03,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2178
2171,Validation Layers,VUID,"Scrub implementation of primary/secondary rules wrt renderpass edges, inheritance, etc",2017-11-01,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2171
2135,Validation Layers,enhancement,Core validation: Misleading error reported if no pipeline is bound and app tries to change a dynamic state,2017-10-16,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2135
2130,Validation Layers,VUID,Handle mask validation for multiple subpass self-dependencies,2017-10-12,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2130
2126,Validation Layers,VUID,Add check for memory object backing bufferView & Image descriptor updates,2017-10-11,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2126
2100,Validation Layers,enhancement,Performance is extremely poor with validation layers,2017-10-03,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2100
2094,Validation Layers,"VUID, enhancement",Clean up descriptor copy update validation,2017-09-29,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2094
2093,Validation Layers,enhancement,"""simultaneously used "" validation does not have enough information.",2017-09-28,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2093
2088,Validation Layers,incomplete,"PRTs + input attachments: Verify FB attachments accessed by input attachments are fully backed by physical memory, as far as renderpass' render area is considered.",2017-09-25,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2088
2078,Loader,"bug, loader",Loader test CreateInstanceDeviceIntentionalAllocFail fails on AMD,2017-09-19,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2078
2071,Validation Layers,enhancement,Overzealous warning on vkGetPhysicalDeviceSurfacePresentModesKHR,2017-09-17,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2071
2064,Loader,"enhancement, loader",vkEnumerateInstanceExtensionProperties cannot be called from CreateInstance in a layer,2017-09-08,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2064
2053,Validation Layers,incomplete,Validation layer doesn't catch missing transition for vkCmdCopyQueryPoolResults,2017-09-06,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2053
2048,Validation Layers,incomplete,Image in Shader Read Only Optimal layout could be used in a general layout through a Descriptor Set,2017-09-03,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2048
2045,Validation Layers,VUID,Core Validation: CmdPushDescriptorSetWithTemplateKHR not tracked properly,2017-09-01,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2045
2038,Validation Layers,incomplete,Core Validation: No error reported for a missing subpass->external dependency,2017-08-29,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2038
2022,Validation Layers,enhancement,Note disturbed descriptors when unbound set used,2017-08-22,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2022
2015,Validation Layers,incomplete,Missing error when inserting a queue family ownership acquisition operation without preceding release,2017-08-20,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2015
2014,Validation Layers,incomplete,Layers do not report missing memory transition for getting query pool results,2017-08-20,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/2014
1973,Validation Layers,incomplete,Core validation: Value assigned to the location decoration is not checked against (physical device::maxVertexOutputComponents / 4),2017-07-27,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1973
1971,Validation Layers,"bug, enhancement",VU checks for vkGetQueryPoolResults() in CV are incorrect (and slow),2017-07-26,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1971
